venue_id,venue_name,scraped_at,current_count,source_status
gym,健身中心,2026-06-30T04:29:22+00:00,47,ok
pool,室內游泳池,2026-06-30T04:29:22+00:00,13,ok
gym,健身中心,2026-06-30T04:30:00+00:00,47,ok
pool,室內游泳池,2026-06-30T04:30:00+00:00,13,ok
gym,健身中心,2026-06-30T04:40:00+00:00,44,ok
pool,室內游泳池,2026-06-30T04:40:00+00:00,16,ok
gym,健身中心,2026-06-30T04:50:00+00:00,46,ok
pool,室內游泳池,2026-06-30T04:50:00+00:00,13,ok
gym,健身中心,2026-06-30T05:00:00+00:00,44,ok
pool,室內游泳池,2026-06-30T05:00:00+00:00,17,ok
gym,健身中心,2026-06-30T05:10:00+00:00,47,ok
pool,室內游泳池,2026-06-30T05:10:00+00:00,17,ok
gym,健身中心,2026-06-30T05:20:00+00:00,42,ok
pool,室內游泳池,2026-06-30T05:20:00+00:00,16,ok
gym,健身中心,2026-06-30T05:30:00+00:00,42,ok
pool,室內游泳池,2026-06-30T05:30:00+00:00,18,ok
gym,健身中心,2026-06-30T05:40:00+00:00,43,ok
pool,室內游泳池,2026-06-30T05:40:00+00:00,17,ok
gym,健身中心,2026-06-30T05:50:00+00:00,44,ok
pool,室內游泳池,2026-06-30T05:50:00+00:00,17,ok
gym,健身中心,2026-06-30T06:00:00+00:00,44,ok
pool,室內游泳池,2026-06-30T06:00:00+00:00,22,ok
gym,健身中心,2026-06-30T06:10:00+00:00,38,ok
pool,室內游泳池,2026-06-30T06:10:00+00:00,22,ok
gym,健身中心,2026-06-30T06:20:00+00:00,34,ok
pool,室內游泳池,2026-06-30T06:20:00+00:00,21,ok
gym,健身中心,2026-06-30T06:30:00+00:00,36,ok
pool,室內游泳池,2026-06-30T06:30:00+00:00,20,ok
gym,健身中心,2026-06-30T06:40:00+00:00,40,ok
pool,室內游泳池,2026-06-30T06:40:00+00:00,20,ok
gym,健身中心,2026-06-30T06:50:00+00:00,47,ok
pool,室內游泳池,2026-06-30T06:50:00+00:00,20,ok
gym,健身中心,2026-06-30T07:00:00+00:00,47,ok
pool,室內游泳池,2026-06-30T07:00:00+00:00,16,ok
gym,健身中心,2026-06-30T07:10:00+00:00,51,ok
pool,室內游泳池,2026-06-30T07:10:00+00:00,18,ok
gym,健身中心,2026-06-30T07:20:00+00:00,57,ok
pool,室內游泳池,2026-06-30T07:20:00+00:00,20,ok
gym,健身中心,2026-06-30T07:30:00+00:00,66,ok
pool,室內游泳池,2026-06-30T07:30:00+00:00,16,ok
gym,健身中心,2026-06-30T07:40:00+00:00,71,ok
pool,室內游泳池,2026-06-30T07:40:00+00:00,16,ok
gym,健身中心,2026-06-30T07:50:00+00:00,67,ok
pool,室內游泳池,2026-06-30T07:50:00+00:00,18,ok
gym,健身中心,2026-06-30T08:00:00+00:00,64,ok
pool,室內游泳池,2026-06-30T08:00:00+00:00,15,ok
gym,健身中心,2026-06-30T08:10:00+00:00,59,ok
pool,室內游泳池,2026-06-30T08:10:00+00:00,18,ok
gym,健身中心,2026-06-30T08:20:00+00:00,61,ok
pool,室內游泳池,2026-06-30T08:20:00+00:00,19,ok
gym,健身中心,2026-06-30T08:30:00+00:00,53,ok
pool,室內游泳池,2026-06-30T08:30:00+00:00,21,ok
gym,健身中心,2026-06-30T08:40:00+00:00,54,ok
pool,室內游泳池,2026-06-30T08:40:00+00:00,22,ok
gym,健身中心,2026-06-30T08:50:00+00:00,51,ok
pool,室內游泳池,2026-06-30T08:50:00+00:00,25,ok
gym,健身中心,2026-06-30T09:00:00+00:00,54,ok
pool,室內游泳池,2026-06-30T09:00:00+00:00,27,ok
gym,健身中心,2026-06-30T09:10:00+00:00,54,ok
pool,室內游泳池,2026-06-30T09:10:00+00:00,23,ok
gym,健身中心,2026-06-30T09:20:00+00:00,57,ok
pool,室內游泳池,2026-06-30T09:20:00+00:00,25,ok
gym,健身中心,2026-06-30T09:30:00+00:00,58,ok
pool,室內游泳池,2026-06-30T09:30:00+00:00,24,ok
gym,健身中心,2026-06-30T09:40:00+00:00,62,ok
pool,室內游泳池,2026-06-30T09:40:00+00:00,21,ok
gym,健身中心,2026-06-30T09:50:00+00:00,79,ok
pool,室內游泳池,2026-06-30T09:50:00+00:00,21,ok
gym,健身中心,2026-06-30T10:00:00+00:00,77,ok
pool,室內游泳池,2026-06-30T10:00:00+00:00,20,ok
gym,健身中心,2026-06-30T10:10:00+00:00,82,ok
pool,室內游泳池,2026-06-30T10:10:00+00:00,21,ok
gym,健身中心,2026-06-30T10:20:00+00:00,78,ok
pool,室內游泳池,2026-06-30T10:20:00+00:00,20,ok
gym,健身中心,2026-06-30T10:30:00+00:00,76,ok
pool,室內游泳池,2026-06-30T10:30:00+00:00,23,ok
gym,健身中心,2026-06-30T10:40:00+00:00,68,ok
pool,室內游泳池,2026-06-30T10:40:00+00:00,22,ok
gym,健身中心,2026-06-30T10:50:00+00:00,73,ok
pool,室內游泳池,2026-06-30T10:50:00+00:00,23,ok
gym,健身中心,2026-06-30T11:00:00+00:00,71,ok
pool,室內游泳池,2026-06-30T11:00:00+00:00,27,ok
gym,健身中心,2026-06-30T11:10:00+00:00,72,ok
pool,室內游泳池,2026-06-30T11:10:00+00:00,26,ok
gym,健身中心,2026-06-30T11:20:00+00:00,73,ok
pool,室內游泳池,2026-06-30T11:20:00+00:00,27,ok
gym,健身中心,2026-06-30T11:30:00+00:00,81,ok
pool,室內游泳池,2026-06-30T11:30:00+00:00,25,ok
gym,健身中心,2026-06-30T11:40:00+00:00,88,ok
pool,室內游泳池,2026-06-30T11:40:00+00:00,21,ok
gym,健身中心,2026-06-30T11:50:00+00:00,89,ok
pool,室內游泳池,2026-06-30T11:50:00+00:00,20,ok
gym,健身中心,2026-06-30T12:00:00+00:00,83,ok
pool,室內游泳池,2026-06-30T12:00:00+00:00,21,ok
gym,健身中心,2026-06-30T12:10:00+00:00,83,ok
pool,室內游泳池,2026-06-30T12:10:00+00:00,20,ok
gym,健身中心,2026-06-30T12:20:00+00:00,81,ok
pool,室內游泳池,2026-06-30T12:20:00+00:00,21,ok
gym,健身中心,2026-06-30T12:30:00+00:00,76,ok
pool,室內游泳池,2026-06-30T12:30:00+00:00,19,ok
gym,健身中心,2026-06-30T12:40:00+00:00,85,ok
pool,室內游泳池,2026-06-30T12:40:00+00:00,16,ok
gym,健身中心,2026-06-30T12:50:00+00:00,75,ok
pool,室內游泳池,2026-06-30T12:50:00+00:00,18,ok
gym,健身中心,2026-06-30T13:00:00+00:00,73,ok
pool,室內游泳池,2026-06-30T13:00:00+00:00,17,ok
gym,健身中心,2026-06-30T13:10:00+00:00,71,ok
pool,室內游泳池,2026-06-30T13:10:00+00:00,15,ok
gym,健身中心,2026-06-30T13:20:00+00:00,70,ok
pool,室內游泳池,2026-06-30T13:20:00+00:00,13,ok
gym,健身中心,2026-06-30T13:30:00+00:00,65,ok
pool,室內游泳池,2026-06-30T13:30:00+00:00,10,ok
gym,健身中心,2026-06-30T13:40:00+00:00,55,ok
pool,室內游泳池,2026-06-30T13:40:00+00:00,8,ok
gym,健身中心,2026-06-30T13:50:00+00:00,34,ok
pool,室內游泳池,2026-06-30T13:50:00+00:00,0,ok
gym,健身中心,2026-06-30T14:00:00+00:00,0,closed
pool,室內游泳池,2026-06-30T14:00:00+00:00,0,closed
gym,健身中心,2026-07-01T00:00:00+00:00,0,open
pool,室內游泳池,2026-07-01T00:00:00+00:00,0,open
gym,健身中心,2026-07-01T00:10:00+00:00,11,ok
pool,室內游泳池,2026-07-01T00:10:00+00:00,7,ok
gym,健身中心,2026-07-01T00:20:00+00:00,11,ok
pool,室內游泳池,2026-07-01T00:20:00+00:00,9,ok
gym,健身中心,2026-07-01T00:30:00+00:00,11,ok
pool,室內游泳池,2026-07-01T00:30:00+00:00,14,ok
gym,健身中心,2026-07-01T00:40:00+00:00,13,ok
pool,室內游泳池,2026-07-01T00:40:00+00:00,11,ok
gym,健身中心,2026-07-01T00:50:00+00:00,11,ok
pool,室內游泳池,2026-07-01T00:50:00+00:00,15,ok
gym,健身中心,2026-07-01T01:00:00+00:00,10,ok
pool,室內游泳池,2026-07-01T01:00:00+00:00,14,ok
gym,健身中心,2026-07-01T01:10:00+00:00,14,ok
pool,室內游泳池,2026-07-01T01:10:00+00:00,14,ok
gym,健身中心,2026-07-01T01:20:00+00:00,17,ok
pool,室內游泳池,2026-07-01T01:20:00+00:00,17,ok
gym,健身中心,2026-07-01T01:30:00+00:00,22,ok
pool,室內游泳池,2026-07-01T01:30:00+00:00,17,ok
gym,健身中心,2026-07-01T01:40:00+00:00,24,ok
pool,室內游泳池,2026-07-01T01:40:00+00:00,21,ok
gym,健身中心,2026-07-01T01:50:00+00:00,30,ok
pool,室內游泳池,2026-07-01T01:50:00+00:00,18,ok
gym,健身中心,2026-07-01T02:00:00+00:00,31,ok
pool,室內游泳池,2026-07-01T02:00:00+00:00,20,ok
gym,健身中心,2026-07-01T02:10:00+00:00,39,ok
pool,室內游泳池,2026-07-01T02:10:00+00:00,17,ok
gym,健身中心,2026-07-01T02:20:00+00:00,40,ok
pool,室內游泳池,2026-07-01T02:20:00+00:00,15,ok
gym,健身中心,2026-07-01T02:30:00+00:00,42,ok
pool,室內游泳池,2026-07-01T02:30:00+00:00,14,ok
gym,健身中心,2026-07-01T02:40:00+00:00,45,ok
pool,室內游泳池,2026-07-01T02:40:00+00:00,11,ok
gym,健身中心,2026-07-01T02:50:00+00:00,40,ok
pool,室內游泳池,2026-07-01T02:50:00+00:00,14,ok
gym,健身中心,2026-07-01T03:00:00+00:00,44,ok
pool,室內游泳池,2026-07-01T03:00:00+00:00,12,ok
gym,健身中心,2026-07-01T03:10:00+00:00,56,ok
pool,室內游泳池,2026-07-01T03:10:00+00:00,11,ok
gym,健身中心,2026-07-01T03:20:00+00:00,56,ok
pool,室內游泳池,2026-07-01T03:20:00+00:00,10,ok
gym,健身中心,2026-07-01T03:30:00+00:00,54,ok
pool,室內游泳池,2026-07-01T03:30:00+00:00,9,ok
gym,健身中心,2026-07-01T03:40:00+00:00,55,ok
pool,室內游泳池,2026-07-01T03:40:00+00:00,7,ok
gym,健身中心,2026-07-01T03:50:00+00:00,64,ok
pool,室內游泳池,2026-07-01T03:50:00+00:00,8,ok
gym,健身中心,2026-07-01T04:00:00+00:00,58,ok
pool,室內游泳池,2026-07-01T04:00:00+00:00,6,ok
gym,健身中心,2026-07-01T04:10:00+00:00,62,ok
pool,室內游泳池,2026-07-01T04:10:00+00:00,5,ok
gym,健身中心,2026-07-01T04:20:00+00:00,61,ok
pool,室內游泳池,2026-07-01T04:20:00+00:00,8,ok
gym,健身中心,2026-07-01T04:30:00+00:00,58,ok
pool,室內游泳池,2026-07-01T04:30:00+00:00,9,ok
gym,健身中心,2026-07-01T04:40:00+00:00,53,ok
pool,室內游泳池,2026-07-01T04:40:00+00:00,11,ok
gym,健身中心,2026-07-01T04:50:00+00:00,47,ok
pool,室內游泳池,2026-07-01T04:50:00+00:00,13,ok
gym,健身中心,2026-07-01T05:00:00+00:00,38,ok
pool,室內游泳池,2026-07-01T05:00:00+00:00,12,ok
gym,健身中心,2026-07-01T05:10:00+00:00,33,ok
pool,室內游泳池,2026-07-01T05:10:00+00:00,13,ok
gym,健身中心,2026-07-01T05:20:00+00:00,31,ok
pool,室內游泳池,2026-07-01T05:20:00+00:00,12,ok
gym,健身中心,2026-07-01T05:30:00+00:00,33,ok
pool,室內游泳池,2026-07-01T05:30:00+00:00,14,ok
gym,健身中心,2026-07-01T05:40:00+00:00,33,ok
pool,室內游泳池,2026-07-01T05:40:00+00:00,16,ok
gym,健身中心,2026-07-01T05:50:00+00:00,32,ok
pool,室內游泳池,2026-07-01T05:50:00+00:00,17,ok
gym,健身中心,2026-07-01T06:00:00+00:00,35,ok
pool,室內游泳池,2026-07-01T06:00:00+00:00,20,ok
gym,健身中心,2026-07-01T06:10:00+00:00,36,ok
pool,室內游泳池,2026-07-01T06:10:00+00:00,22,ok
gym,健身中心,2026-07-01T06:20:00+00:00,42,ok
pool,室內游泳池,2026-07-01T06:20:00+00:00,17,ok
gym,健身中心,2026-07-01T06:30:00+00:00,38,ok
pool,室內游泳池,2026-07-01T06:30:00+00:00,14,ok
gym,健身中心,2026-07-01T06:40:00+00:00,42,ok
pool,室內游泳池,2026-07-01T06:40:00+00:00,12,ok
gym,健身中心,2026-07-01T06:50:00+00:00,39,ok
pool,室內游泳池,2026-07-01T06:50:00+00:00,11,ok
gym,健身中心,2026-07-01T07:00:00+00:00,38,ok
pool,室內游泳池,2026-07-01T07:00:00+00:00,11,ok
gym,健身中心,2026-07-01T07:10:00+00:00,37,ok
pool,室內游泳池,2026-07-01T07:10:00+00:00,14,ok
gym,健身中心,2026-07-01T07:20:00+00:00,41,ok
pool,室內游泳池,2026-07-01T07:20:00+00:00,13,ok
gym,健身中心,2026-07-01T07:30:00+00:00,39,ok
pool,室內游泳池,2026-07-01T07:30:00+00:00,14,ok
gym,健身中心,2026-07-01T07:40:00+00:00,38,ok
pool,室內游泳池,2026-07-01T07:40:00+00:00,17,ok
gym,健身中心,2026-07-01T07:50:00+00:00,46,ok
pool,室內游泳池,2026-07-01T07:50:00+00:00,18,ok
gym,健身中心,2026-07-01T08:00:00+00:00,56,ok
pool,室內游泳池,2026-07-01T08:00:00+00:00,19,ok
gym,健身中心,2026-07-01T08:10:00+00:00,52,ok
pool,室內游泳池,2026-07-01T08:10:00+00:00,21,ok
gym,健身中心,2026-07-01T08:20:00+00:00,58,ok
pool,室內游泳池,2026-07-01T08:20:00+00:00,20,ok
gym,健身中心,2026-07-01T08:30:00+00:00,54,ok
pool,室內游泳池,2026-07-01T08:30:00+00:00,19,ok
gym,健身中心,2026-07-01T08:40:00+00:00,55,ok
pool,室內游泳池,2026-07-01T08:40:00+00:00,20,ok
gym,健身中心,2026-07-01T08:50:00+00:00,68,ok
pool,室內游泳池,2026-07-01T08:50:00+00:00,20,ok
gym,健身中心,2026-07-01T09:00:00+00:00,66,ok
pool,室內游泳池,2026-07-01T09:00:00+00:00,18,ok
gym,健身中心,2026-07-01T09:10:00+00:00,71,ok
pool,室內游泳池,2026-07-01T09:10:00+00:00,19,ok
gym,健身中心,2026-07-01T09:20:00+00:00,79,ok
pool,室內游泳池,2026-07-01T09:20:00+00:00,18,ok
gym,健身中心,2026-07-01T09:30:00+00:00,81,ok
pool,室內游泳池,2026-07-01T09:30:00+00:00,18,ok
gym,健身中心,2026-07-01T09:40:00+00:00,89,ok
pool,室內游泳池,2026-07-01T09:40:00+00:00,18,ok
gym,健身中心,2026-07-01T09:50:00+00:00,93,ok
pool,室內游泳池,2026-07-01T09:50:00+00:00,22,ok
gym,健身中心,2026-07-01T10:00:00+00:00,100,ok
pool,室內游泳池,2026-07-01T10:00:00+00:00,21,ok
gym,健身中心,2026-07-01T10:10:00+00:00,98,ok
pool,室內游泳池,2026-07-01T10:10:00+00:00,22,ok
gym,健身中心,2026-07-01T10:20:00+00:00,101,ok
pool,室內游泳池,2026-07-01T10:20:00+00:00,20,ok
gym,健身中心,2026-07-01T10:30:00+00:00,103,ok
pool,室內游泳池,2026-07-01T10:30:00+00:00,19,ok
gym,健身中心,2026-07-01T10:40:00+00:00,99,ok
pool,室內游泳池,2026-07-01T10:40:00+00:00,20,ok
gym,健身中心,2026-07-01T10:50:00+00:00,92,ok
pool,室內游泳池,2026-07-01T10:50:00+00:00,14,ok
gym,健身中心,2026-07-01T11:00:00+00:00,77,ok
pool,室內游泳池,2026-07-01T11:00:00+00:00,15,ok
gym,健身中心,2026-07-01T11:10:00+00:00,65,ok
pool,室內游泳池,2026-07-01T11:10:00+00:00,16,ok
gym,健身中心,2026-07-01T11:20:00+00:00,64,ok
pool,室內游泳池,2026-07-01T11:20:00+00:00,24,ok
gym,健身中心,2026-07-01T11:30:00+00:00,64,ok
pool,室內游泳池,2026-07-01T11:30:00+00:00,26,ok
gym,健身中心,2026-07-01T11:40:00+00:00,73,ok
pool,室內游泳池,2026-07-01T11:40:00+00:00,27,ok
gym,健身中心,2026-07-01T11:50:00+00:00,72,ok
pool,室內游泳池,2026-07-01T11:50:00+00:00,30,ok
gym,健身中心,2026-07-01T12:00:00+00:00,66,ok
pool,室內游泳池,2026-07-01T12:00:00+00:00,30,ok
_parse,,2026-07-01T12:10:00+00:00,,parse_error: no populated .CMCItem venue blocks found — page layout may have changed
gym,健身中心,2026-07-01T12:20:00+00:00,71,ok
pool,室內游泳池,2026-07-01T12:20:00+00:00,28,ok
gym,健身中心,2026-07-01T12:30:00+00:00,79,ok
pool,室內游泳池,2026-07-01T12:30:00+00:00,27,ok
gym,健身中心,2026-07-01T12:40:00+00:00,81,ok
pool,室內游泳池,2026-07-01T12:40:00+00:00,26,ok
gym,健身中心,2026-07-01T12:50:00+00:00,79,ok
pool,室內游泳池,2026-07-01T12:50:00+00:00,24,ok
gym,健身中心,2026-07-01T13:00:00+00:00,82,ok
pool,室內游泳池,2026-07-01T13:00:00+00:00,23,ok
gym,健身中心,2026-07-01T13:10:00+00:00,78,ok
pool,室內游泳池,2026-07-01T13:10:00+00:00,9,ok
gym,健身中心,2026-07-01T13:20:00+00:00,70,ok
pool,室內游泳池,2026-07-01T13:20:00+00:00,9,ok
gym,健身中心,2026-07-01T13:30:00+00:00,63,ok
pool,室內游泳池,2026-07-01T13:30:00+00:00,8,ok
gym,健身中心,2026-07-01T13:40:00+00:00,44,ok
pool,室內游泳池,2026-07-01T13:40:00+00:00,8,ok
gym,健身中心,2026-07-01T13:50:00+00:00,34,ok
pool,室內游泳池,2026-07-01T13:50:00+00:00,3,ok
gym,健身中心,2026-07-01T14:00:00+00:00,0,closed
pool,室內游泳池,2026-07-01T14:00:00+00:00,0,closed
gym,健身中心,2026-07-02T00:00:00+00:00,0,open
pool,室內游泳池,2026-07-02T00:00:00+00:00,0,open
gym,健身中心,2026-07-02T00:10:00+00:00,25,ok
pool,室內游泳池,2026-07-02T00:10:00+00:00,7,ok
gym,健身中心,2026-07-02T00:20:00+00:00,24,ok
pool,室內游泳池,2026-07-02T00:20:00+00:00,7,ok
gym,健身中心,2026-07-02T00:30:00+00:00,24,ok
pool,室內游泳池,2026-07-02T00:30:00+00:00,9,ok
gym,健身中心,2026-07-02T00:40:00+00:00,24,ok
pool,室內游泳池,2026-07-02T00:40:00+00:00,9,ok
gym,健身中心,2026-07-02T00:50:00+00:00,20,ok
pool,室內游泳池,2026-07-02T00:50:00+00:00,11,ok
gym,健身中心,2026-07-02T01:00:00+00:00,22,ok
pool,室內游泳池,2026-07-02T01:00:00+00:00,13,ok
gym,健身中心,2026-07-02T01:10:00+00:00,20,ok
pool,室內游泳池,2026-07-02T01:10:00+00:00,12,ok
gym,健身中心,2026-07-02T01:20:00+00:00,20,ok
pool,室內游泳池,2026-07-02T01:20:00+00:00,11,ok
gym,健身中心,2026-07-02T01:30:00+00:00,35,ok
pool,室內游泳池,2026-07-02T01:30:00+00:00,13,ok
gym,健身中心,2026-07-02T01:40:00+00:00,38,ok
pool,室內游泳池,2026-07-02T01:40:00+00:00,13,ok
gym,健身中心,2026-07-02T01:50:00+00:00,42,ok
pool,室內游泳池,2026-07-02T01:50:00+00:00,13,ok
gym,健身中心,2026-07-02T02:00:00+00:00,49,ok
pool,室內游泳池,2026-07-02T02:00:00+00:00,12,ok
gym,健身中心,2026-07-02T02:10:00+00:00,72,ok
pool,室內游泳池,2026-07-02T02:10:00+00:00,13,ok
gym,健身中心,2026-07-02T02:20:00+00:00,77,ok
pool,室內游泳池,2026-07-02T02:20:00+00:00,16,ok
gym,健身中心,2026-07-02T02:30:00+00:00,82,ok
pool,室內游泳池,2026-07-02T02:30:00+00:00,13,ok
gym,健身中心,2026-07-02T02:40:00+00:00,67,ok
pool,室內游泳池,2026-07-02T02:40:00+00:00,13,ok
gym,健身中心,2026-07-02T02:50:00+00:00,69,ok
pool,室內游泳池,2026-07-02T02:50:00+00:00,15,ok
gym,健身中心,2026-07-02T03:00:00+00:00,70,ok
pool,室內游泳池,2026-07-02T03:00:00+00:00,17,ok
gym,健身中心,2026-07-02T03:10:00+00:00,73,ok
pool,室內游泳池,2026-07-02T03:10:00+00:00,18,ok
gym,健身中心,2026-07-02T03:20:00+00:00,75,ok
pool,室內游泳池,2026-07-02T03:20:00+00:00,16,ok
gym,健身中心,2026-07-02T03:30:00+00:00,70,ok
pool,室內游泳池,2026-07-02T03:30:00+00:00,15,ok
gym,健身中心,2026-07-02T03:40:00+00:00,58,ok
pool,室內游泳池,2026-07-02T03:40:00+00:00,17,ok
gym,健身中心,2026-07-02T03:50:00+00:00,45,ok
pool,室內游泳池,2026-07-02T03:50:00+00:00,16,ok
gym,健身中心,2026-07-02T04:00:00+00:00,43,ok
pool,室內游泳池,2026-07-02T04:00:00+00:00,15,ok
gym,健身中心,2026-07-02T04:10:00+00:00,42,ok
pool,室內游泳池,2026-07-02T04:10:00+00:00,13,ok
gym,健身中心,2026-07-02T04:20:00+00:00,51,ok
pool,室內游泳池,2026-07-02T04:20:00+00:00,12,ok
gym,健身中心,2026-07-02T04:30:00+00:00,50,ok
pool,室內游泳池,2026-07-02T04:30:00+00:00,12,ok
gym,健身中心,2026-07-02T04:40:00+00:00,44,ok
pool,室內游泳池,2026-07-02T04:40:00+00:00,13,ok
gym,健身中心,2026-07-02T04:50:00+00:00,44,ok
pool,室內游泳池,2026-07-02T04:50:00+00:00,12,ok
gym,健身中心,2026-07-02T05:00:00+00:00,38,ok
pool,室內游泳池,2026-07-02T05:00:00+00:00,13,ok
gym,健身中心,2026-07-02T05:10:00+00:00,38,ok
pool,室內游泳池,2026-07-02T05:10:00+00:00,11,ok
gym,健身中心,2026-07-02T05:20:00+00:00,39,ok
pool,室內游泳池,2026-07-02T05:20:00+00:00,10,ok
gym,健身中心,2026-07-02T05:30:00+00:00,37,ok
pool,室內游泳池,2026-07-02T05:30:00+00:00,8,ok
gym,健身中心,2026-07-02T05:40:00+00:00,31,ok
pool,室內游泳池,2026-07-02T05:40:00+00:00,7,ok
gym,健身中心,2026-07-02T05:50:00+00:00,32,ok
pool,室內游泳池,2026-07-02T05:50:00+00:00,9,ok
gym,健身中心,2026-07-02T06:00:00+00:00,30,ok
pool,室內游泳池,2026-07-02T06:00:00+00:00,10,ok
gym,健身中心,2026-07-02T06:10:00+00:00,34,ok
pool,室內游泳池,2026-07-02T06:10:00+00:00,10,ok
gym,健身中心,2026-07-02T06:20:00+00:00,32,ok
pool,室內游泳池,2026-07-02T06:20:00+00:00,13,ok
gym,健身中心,2026-07-02T06:30:00+00:00,32,ok
pool,室內游泳池,2026-07-02T06:30:00+00:00,13,ok
gym,健身中心,2026-07-02T06:40:00+00:00,34,ok
pool,室內游泳池,2026-07-02T06:40:00+00:00,12,ok
gym,健身中心,2026-07-02T06:50:00+00:00,47,ok
pool,室內游泳池,2026-07-02T06:50:00+00:00,13,ok
gym,健身中心,2026-07-02T07:00:00+00:00,44,ok
pool,室內游泳池,2026-07-02T07:00:00+00:00,12,ok
gym,健身中心,2026-07-02T07:10:00+00:00,45,ok
pool,室內游泳池,2026-07-02T07:10:00+00:00,12,ok
gym,健身中心,2026-07-02T07:20:00+00:00,49,ok
pool,室內游泳池,2026-07-02T07:20:00+00:00,11,ok
gym,健身中心,2026-07-02T07:30:00+00:00,54,ok
pool,室內游泳池,2026-07-02T07:30:00+00:00,14,ok
gym,健身中心,2026-07-02T07:40:00+00:00,56,ok
pool,室內游泳池,2026-07-02T07:40:00+00:00,15,ok
gym,健身中心,2026-07-02T07:50:00+00:00,52,ok
pool,室內游泳池,2026-07-02T07:50:00+00:00,18,ok
gym,健身中心,2026-07-02T08:00:00+00:00,58,ok
pool,室內游泳池,2026-07-02T08:00:00+00:00,18,ok
gym,健身中心,2026-07-02T08:10:00+00:00,56,ok
pool,室內游泳池,2026-07-02T08:10:00+00:00,20,ok
gym,健身中心,2026-07-02T08:20:00+00:00,58,ok
pool,室內游泳池,2026-07-02T08:20:00+00:00,19,ok
gym,健身中心,2026-07-02T08:27:55+00:00,61,ok
pool,室內游泳池,2026-07-02T08:27:55+00:00,25,ok
gym,健身中心,2026-07-02T08:30:00+00:00,65,ok
pool,室內游泳池,2026-07-02T08:30:00+00:00,25,ok
gym,健身中心,2026-07-02T08:40:00+00:00,68,ok
pool,室內游泳池,2026-07-02T08:40:00+00:00,26,ok
